codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
87125,PSAEX,***,AVIAO,EMBRAER,ERJ 190-400,E295,,***,61200.0,61200.0,0.0,2024.0,BRASIL,BRASIL,AVIAO,***,VIRACOPOS,ORLANDO BEZERRA DE MENEZES,DESCIDA,REGULAR,NENHUM,0.0,87125,87125,87125,87125,INCIDENTE,-7.219166666666,-39.26944444444,JUAZEIRO DO NORTE,CE,BRASIL,FAER,11/05/2025,04:20:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87124,PRYXD,***,AVIAO,ATR - GIE AVIONS DE TRANSPORT REGIONAL,ATR-72-212A (600),AT76,***,***,23000.0,23000.0,,2024.0,BRASIL,BRASIL,AVIAO,***,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,TANCREDO NEVES,SUBIDA,REGULAR,NENHUM,0.0,87124,87124,87124,87124,INCIDENTE,-18.88361111111,-48.22527777777,UBERLANDIA,MG,BRASIL,SBUL,08/05/2025,14:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87123,PRXBT,***,***,AIRBUS S.A.S.,A320-271N,A20N,,BIMOTOR,79000.0,79000.0,,,BRASIL,BRASIL,***,***,GOVERNADOR ANDRE FRANCO MONTORO,PINTO MARTINS,DECOLAGEM,REGULAR,NENHUM,0.0,87123,87123,87123,87123,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,09/05/2025,18:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87122,PRAKJ,***,AVIAO,ATR - GIE AVIONS DE TRANSPORT REGIONAL,ATR-72-212A (600),AT76,TURBOELICE,BIMOTOR,22000.0,22000.0,0.0,2016.0,BRASIL,BRASIL,AVIAO,***,SANTA MARIA,VIRACOPOS,DECOLAGEM,REGULAR,NENHUM,0.0,87122,87122,87122,87122,INCIDENTE,-29.71083333333,-53.69222222222,SANTA MARIA,RS,BRASIL,SBSM,04/05/2025,14:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87121,PRMHK,***,AVIAO,AIRBUS,A320-214,A320,JATO,BIMOTOR,77000.0,77000.0,184.0,2007.0,BRASIL,BRASIL,AVIAO,***,PROFESSOR ERIBERTO MANOEL REINO,GOVERNADOR ANDRE FRANCO MONTORO,DECOLAGEM,REGULAR,LEVE,0.0,87121,87121,87121,87121,INCIDENTE,-20.81722222222,-49.40694444444,SAO JOSE DO RIO PRETO,SP,BRASIL,SBSR,10/05/2025,10:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87118,PRTQC,***,AVIAO,AIRBUS S.A.S.,A320-214,A320,,BIMOTOR,78000.0,78000.0,0.0,2011.0,BRASIL,BRASIL,AVIAO,***,PRESIDENTE JUSCELINO KUBITSCHEK,PRESIDENTE CASTRO PINTO,DECOLAGEM,REGULAR,LEVE,0.0,87118,87118,87118,87118,INCIDENTE,-15.87111111111,-47.91861111111,BRASILIA,DF,BRASIL,SBBR,07/05/2025,11:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87117,PRGTE,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,79000.0,79000.0,194.0,2006.0,BRASIL,BRASIL,AVIAO,***,PINTO MARTINS,GOVERNADOR ANDRE FRANCO MONTORO,SUBIDA,REGULAR,NENHUM,0.0,87117,87117,87117,87117,INCIDENTE,-3.775833333333,-38.53222222222,FORTALEZA,CE,BRASIL,FAER,19/04/2025,15:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87116,PRMYJ,***,AVIAO,AIRBUS,A320-214,A320,JATO,BIMOTOR,77000.0,77000.0,184.0,2010.0,BRASIL,BRASIL,AVIAO,***,GOVERNADOR ANDRE FRANCO MONTORO,PROFESSOR ERIBERTO MANOEL REINO,CRUZEIRO,REGULAR,NENHUM,0.0,87116,87116,87116,87116,INCIDENTE,,,GUARULHOS,SP,BRASIL,FAER,05/05/2025,16:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87115,PRVBG,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,79000.0,79000.0,197.0,2008.0,BRASIL,BRASIL,AVIAO,***,ZUMBI DOS PALMARES,DEPUTADO LUIS EDUARDO MAGALHAES,DECOLAGEM,REGULAR,LEVE,0.0,87115,87115,87115,87115,INCIDENTE,-9.510833333333,-35.79166666666,MACEIO,AL,BRASIL,SBMO,25/04/2025,15:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87114,N989AR,***,***,GULFSTREAM,GVII-G600,,,BIMOTOR,0.0,0.0,,,BRASIL,BRASIL,***,***,SANTA GENOVEVA/GOIANIA,AERODROMO NAO CADASTRADO,DECOLAGEM,PRIVADA,NENHUM,0.0,87114,87114,87114,87114,INCIDENTE,-16.6325,-49.22111111111,GOIANIA,GO,BRASIL,SBGO,04/05/2025,18:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87113,PTKFW,***,AVIAO,CESSNA AIRCRAFT,170B,C170,PISTAO,MONOMOTOR,998.0,998.0,1.0,1953.0,BRASIL,BRASIL,AVIAO,***,JACAREPAGUA,JACAREPAGUA,POUSO,ESPECIALIZADA,NENHUM,0.0,87113,87113,87113,87113,INCIDENTE,-22.9875,-43.37,RIO DE JANEIRO,RJ,BRASIL,SBJR,18/04/2025,16:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87112,PSCNC,***,AVIAO,CESSNA AIRCRAFT,208B,C208,TURBOELICE,MONOMOTOR,4110.0,4110.0,11.0,0.0,BRASIL,BRASIL,AVIAO,***,TANCREDO NEVES,JACAREPAGUA,CRUZEIRO,TAXI AEREO,NENHUM,0.0,87112,87112,87112,87112,INCIDENTE,-22.9875,-43.37,RIO DE JANEIRO,RJ,BRASIL,FAER,05/05/2025,23:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87111,PRVJM,***,AVIAO,CESSNA AIRCRAFT,210N,C210,PISTAO,MONOMOTOR,1724.0,1724.0,6.0,1981.0,BRASIL,BRASIL,AVIAO,***,CARAJAS,AERODROMO NAO CADASTRADO,POUSO,TAXI AEREO,SUBSTANCIAL,0.0,87111,87111,87111,87111,ACIDENTE,-6.304444444444,-50.91333333333,PARAUAPEBAS,PA,BRASIL,NCAD,05/05/2025,20:30:00,NAO,ATIVA,A DEFINIR,NAO,,0,1,NAO
87110,PTWOS,***,AVIAO,CESSNA AIRCRAFT,208,C208,TURBOELICE,MONOMOTOR,3629.0,3629.0,11.0,1990.0,BRASIL,BRASIL,AVIAO,***,VAL DE CANS / JULIO CEZAR RIBEIRO,MARECHAL CUNHA MACHADO,TAXI,TAXI AEREO,LEVE,0.0,87110,87110,87110,87110,INCIDENTE,-2.586944444444,-44.23611111111,SAO LUIS,MA,BRASIL,SBSL,05/05/2025,19:55:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87109,PSGNI,***,AVIAO,HAWKER BEECHCRAFT,C90GTI,BE9L,,BIMOTOR,4581.0,4581.0,0.0,0.0,BRASIL,BRASIL,AVIAO,***,Comandante Rolim Adolfo Amaro,VILHENA,DESCIDA,PRIVADA,LEVE,0.0,87109,87109,87109,87109,INCIDENTE,-13.78222222222,-58.91555555555,SAPEZAL,MT,BRASIL,FAER,05/04/2025,15:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87108,PRTYT,***,AVIAO,AIRBUS,A320-214,A320,JATO,BIMOTOR,78000.0,78000.0,0.0,2015.0,BRASIL,BRASIL,AVIAO,***,VAL DE CANS / JULIO CEZAR RIBEIRO,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,NENHUM,0.0,87108,87108,87108,87108,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,25/03/2025,11:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87107,PTMUI,***,AVIAO,BOEING,777-32WER,B77W,JATO,BIMOTOR,346544.0,346544.0,384.0,2013.0,BRASIL,BRASIL,AVIAO,***,AEROPORTO DE FRANKFURT ALEMANHA,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,NENHUM,0.0,87107,87107,87107,87107,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,29/03/2025,12:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87106,PTXPN,***,AVIAO,AIRBUS,A321-211,A320,***,***,89000.0,89000.0,,2016.0,BRASIL,BRASIL,AVIAO,***,GOVERNADOR ANDRE FRANCO MONTORO,ANTONIO CARLOS JOBIM / GALEAO,APROXIMACAO FINAL,REGULAR,LEVE,0.0,87106,87106,87106,87106,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,SBGL,05/05/2025,14:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87105,PSGRA,***,AVIAO,BOEING COMPANY,B737-8 MAX,B38M,,***,82190.0,82190.0,,2023.0,BRASIL,BRASIL,AVIAO,***,EDUARDO GOMES,MAESTRO WILSON FONSECA,DECOLAGEM,REGULAR,LEVE,0.0,87105,87105,87105,87105,INCIDENTE,-3.041111111111,-60.05055555555,MANAUS,AM,BRASIL,SBEG,02/05/2025,16:37:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87104,PSLBM,***,AVIAO,AIRBUS S.A.S.,A321-271N,A21N,,***,89000.0,89000.0,,2024.0,BRASIL,BRASIL,AVIAO,***,AFONSO PENA,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,LEVE,0.0,87104,87104,87104,87104,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,27/04/2025,19:41:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87103,PUTDP,***,ULTRALEVE,***,ADVENTURE,ULAC,PISTAO,MONOMOTOR,420.0,420.0,2.0,2008.0,BRASIL,BRASIL,ULTRALEVE,***,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMACAO FINAL,EXPERIMENTAL,SUBSTANCIAL,1.0,87103,87103,87103,87103,ACIDENTE,-7.256111111111,-38.37666666666,SERRA GRANDE,PB,BRASIL,FAER,03/05/2025,11:50:00,SIM,ATIVA,A DEFINIR,NAO,,0,1,NAO
87102,PRGUI,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,79015.0,79015.0,187.0,2011.0,BRASIL,BRASIL,AVIAO,***,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,CONGONHAS,SUBIDA,REGULAR,NENHUM,0.0,87102,87102,87102,87102,INCIDENTE GRAVE,,,UBERABA,MG,BRASIL,FAER,11/04/2025,18:45:00,SIM,ATIVA,IG-057/CENIPA/2025,NAO,,0,2,NAO
87102,PSTEO,***,***,BEECH AIRCRAFT,400A,BE40,,BIMOTOR,7393.0,7393.0,,,BRASIL,BRASIL,***,***,CAMPO DE MARTE - SP,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,DESCIDA,PRIVADA,NENHUM,0.0,87102,87102,87102,87102,INCIDENTE GRAVE,,,UBERABA,MG,BRASIL,FAER,11/04/2025,18:45:00,SIM,ATIVA,IG-057/CENIPA/2025,NAO,,0,2,NAO
